path	bytes	sha256	git_blob	provenance_class	license_requirement
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-oblique-raw-warp.png	242857	ec54916f1f38515cb892d7d8c0d628d213bfb9250ec1f0457334f10163d4f855	3ca2d2a57be333732cd7c60e6edc85b3d8738906	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-road-topology-control.png	22355	75cfd45bce4fe3fab4db191c1bc6c11d30168c82521dcc71797916b746e6855e	aa0bab160c67e55fec1e21ed0c914e577d279629	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-road-topology-oblique.png	49382	2936326a203af2968fc177abab37f051975fa26b33081ca0de84adc3ec073c1b	454cf1a287c54f5cd0fae50ddf739ce43b5a46b2	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-semantic-mask.png	13419	6c3b7f56b303fadbd79e25e6163f171e41507b3968be481d252498ed29cfa1f0	c9e552e3c469682eabe1362c2e24641696d64a98	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-soft-planting-control.png	93089	1e49bcf0d84d91312f6dd4774497c9927565ea9edf085e89aecb8771ceba1bbd	83fc01c9b352ef75d0b3552170c912d10e5d0c78	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bd-kilteevan-soft-planting-soft-planting-oblique.png	159420	08c76265e0c43cf54e1ba766d7ea9a54fc29d0d5bce71c08531da25deba3a140	aea0857e35dd0eb47d88bbe9b9100846a68e2157	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-be-kilteevan-raw-map-notebook-no-topdown.png	3482925	300f7ad998d1a1afe459659bb681a2f1463acb503e8203191645af33cb2bec3b	154b289b27a1b2127cf55c5870c5a2439baad313	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bf-grove-a-topology-notebook-refine.png	3560395	f8619a416b0bb572d76e6b4b112bf8c04081b05e6fb564339509da746d93db74	07932498069360e9b0dfd50ca27d1bb610acbcfb	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bg-grove-a-structure-preserving-notebook-refine.png	3524377	e84f08eb6cc04f8f96849a8f09a52246da0bb9f52038b4eba167070f539e5ea7	95d735bea692566bea37f1cc2f5b02fb3153627a	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bh-grove-a-upper-garden-structure-reference.png	289117	da4cb818a23544762b81e333cffbed952d4ce937418e6b00e0f6dbb69bf46df0	81798028ceba656c59e580497ec33f948dc83064	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bh-grove-bg-upper-structure-repair.png	3550206	88c04addbca9abd4904c61d930257b35c5ce345c8592d58605b6dfa505b0e75a	a1503ba65de03574bbc3656dba71cc2faa2dd873	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bh-grove-map-upper-garden-reference.png	385795	40047349024d99bd60f0156af64b58c339c5f8432e61d6a6d58f27c1560237a9	ee417c798b3fe268d9a6d3461f3d57d618716946	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bi-d-doors-on-openings-repair.png	2622716	a785baa496034917bbca0542501b0cb93545795ca6578c28beebecd4ec4f4a65	71f9e4c53c51c1cd3ec89626c5f94058eeb790e2	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-beechwood-core-bj.png	1295955	ffc82805b5b3f4b323d6608ca7485b5e0710df423d79055989f82dd78dd6e82f	9855070e8698855b5f3f361b1d53d466adfdd4b1	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-beechwood-core-m.png	1227946	f1896aa9f0b0e49c99380717aea49832b43ae2a11124012998d8844f3609a188	05bdfcf5cd32888d15a76663bdf8dcdea1baabef	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-beechwood-core-q.png	1347980	48a21491c15caf8e866eba5d3daccef56223f07c272e129905004db22781d3e2	8fc1d8b687380856d39d5389be4d74e7d13fd33d	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-compound-facades-bj.png	388743	8d3278aef58f237e37f8f763e9ae265f03303e84644224cfc2b21979ff97aa65	ef5850e023a0c88aa1cbd8bb97311e46a11ac7fa	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-compound-facades-m.png	399602	efa34ed3e79ce1a297d1869fa69d1c1235c141a6de7b6bbbb88952bd91f9d510	0fc237d513254d35e5433bfb9873b9eaacd2e369	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-compound-facades-q.png	402537	5deb596ed1cb9b876cd9c4394b6d5b859f774c31b75a671ca7484ceca89b9752	6cb3aac9e6219723452f7bbb4e8d69a3c0c6e765	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-garden-regular-bj.png	667838	2155f2aaf9223300ed3d4bfbb136934afc4352c68f2aaea9174a7fab1e34e2c9	0943a5c920d907e54e96eaed0162e4771eac12db	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-garden-regular-m.png	585000	7df30c3d56c34d99cbd6fbfaaba1ebdcac2377fa4cd42502b8caf1e729b3e703	984817b1ca3a626b122c73ef14ed63a6ce3083ee	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-garden-regular-q.png	695182	9f210a826d852d484f255dba0c71ff2f314be7e0bc048c18f2a3f150bc506e94	87744cc17358b4e37640f6a7e5b2b4885acced60	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-lower-buildings-bj.png	363771	65628173a656ea4663b49a2ba845b4974636e50a6bd7b8c6148503a562d92c9c	4ba48e9bed39d2503216a82b9c7602ba0e68afc2	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-lower-buildings-m.png	339428	fd61493425ad746b344854a275522cfc0e56a6a4084107a2d864ec26d412bf60	107e3540f0013209c8b29bcc7e725fba99787c61	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-lower-buildings-q.png	378141	4df8861f6525315bcb97580004ce15e82a78e650902fbb54d56d1edf9509427f	4a55f6cee50cf42cd64380ab5c7dae9dfcc293ae	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-original-facade-road.png	641986	1f954e34950d01cd12ae67be8893f6053abc4212ae463d355d165ee205446a78	8095267fe497462dd8458ee0dece15ec93209bec	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-audit-original-style-scene.png	975450	5b3e6af7ad322661e2bea4832313cf8304e40adb89c924c2a17f2dd2ce0237c1	df78f8b6c9db38b00120ad18e3e0e51cd35aef42	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bj-beechwood-q-notebook-repaint.png	3512974	7f4fc552fcc891d35c0919c72378a533edb52ef5fbe329b2b759e9e20d5cf970	4cfdc3808f26c1426beaafa145b2645fe7ed7bc1	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-beechwood-55-map-crop.png	1043563	e57ea90bdbfc881363885b7b6d90bb59f403a4b3c09b12193e93cdac0d99e7a1	296ecd893a75910ca76ec789aa04629137951c84	nls-map-source-or-crop	CC-BY-NLS
docs/graphics-v2/pipeline-experiments/idea-bm-beechwood-70-map-crop.png	1678387	a1efe9af44af791bb75347077d67cc60da35833350c67ed1229821060c714190	28a8a2479fc343a88783b38e2d4a18555f1d3c7e	nls-map-source-or-crop	CC-BY-NLS
docs/graphics-v2/pipeline-experiments/idea-bm-beechwood-topdown-55-control.png	1001744	14f135652a1e904da044059cdfae8bda3c70ac6e3424e6e2283ffe33a5981fad	028eb58958e07618848a5cf953d720336ca33c60	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bm-beechwood-topdown-55-oblique-y040.png	1043834	60d616fafbfb205d0a5ab8a2e184fd6508c206dfb54216f8d63e032ddce2538c	6485fdeda0bb6aca8a3ed5d128be91d40b5f931a	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-beechwood-topdown-55-oblique-y048.png	1270652	7dff000e99d92668c755176a5dd28b57461697660b0851db31daf9729d11ffc3	a975c95d0c3de75923b05d624fc1189b991f0001	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-beechwood-topdown-70-control.png	1559810	24daa9867d0426fc6b587c9455123eb80a85e0bc0b2baa6830bf1f03925778db	8a1bfde44fa2a79935aba67b1f806e1682ffb45e	derived-control-or-analysis	retain-NLS-CC-BY-where-map-derived-and-project-sidecar
docs/graphics-v2/pipeline-experiments/idea-bm-beechwood-topdown-70-oblique-y040.png	1046585	0ee37f0846e7e0653e1de4680ab01fcdb04a5e20f25c9aa9322039a1057bac95	73188db9246da7254e02387bd49c8e42b8b5d89a	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-beechwood-topdown-70-oblique-y048.png	1287275	fb5a32f0ae0242bcff98568c4dc89571ba1571a08f6ae4a936f55ff9e7ff3317	ad2113b61c13e6dad8acac442bad1fa67cc91965	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-e1-kilteevan-70-y048-isomorphic.png	3350754	49e0432c81880fbe46871a804a1398fadc7f71816822c28e7ba0d2fa05da1ce0	2470410fa0a54046e2a7bf3cd1c0fd86ecd20229	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-e2-kilteevan-55-y040-isomorphic.png	3450931	a3c0456800509a43de79fe865fe0f1e11a88e1b1c306e8302057260e420fa741	85860ce03dee00a0a232090d7bb35b4a6f5f7cc2	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-e3-kilteevan-z17-55-y040-isomorphic.png	3510119	215ff9fb909fee6067ff76d83090b66307b6bad05430b422e46769d7763fb2f5	5688551890667b88f9880ca157a83a1272e01e10	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-e4-kilteevan-z17-55-y040-path-wall-isomorphic.png	3505993	c8d4fff3a5a37f97844a0c584dec798c060be913ddc8024ffa59932eb61b567e	d02bff64fb450f2298038383619376536322e69f	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-e5-beechwood-55-y040-isomorphic.png	3389668	56e535da94070f51a54551c2e54036208e44be2c78c5aa3846ff53c25a6c8bb0	d846ab53df8b6b2621cc46d1b81516f7ba78a8b5	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-e6-grove-55-y040-isomorphic.png	3418268	2d40c96acdc4468497c59f65c96a5237874bf503854c8ceaa9ba22de900d2381	8ae7cdf46cd3c2a3cce7e4aa584759d30eb7c5a9	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-grove-55-map-crop.png	414566	47abf390f8439dd0c7820e22984d21c774e9c25f4c7d40d7a078295768091e53	771fde930bb1e86476d19083dc335f91e627c040	nls-map-source-or-crop	CC-BY-NLS
docs/graphics-v2/pipeline-experiments/idea-bm-grove-70-map-crop.png	662075	2772bef245bf955fc22b0289a3d25308016930eaf047773bca8c338b288b60e0	bc1f1ebb5959166deb418d83fb5e14bbd51e32ac	nls-map-source-or-crop	CC-BY-NLS
docs/graphics-v2/pipeline-experiments/idea-bm-grove-topology-55-oblique-y040.png	1057822	0fa3bc49c413ede9e7066dc3fc9a10d19e336978c374a2e0ab34d8a6019d1cbc	ebdf4569f3672fdbdd9997f8a06ab201712440c0	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-grove-topology-55-oblique-y048.png	1260122	d20893c666d236880d64ec733758ea179251a9565e638aa4f67760b4d4a2d2ed	a41099ae5d7832760c3fd0a55355dcf46f9c10b0	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-grove-topology-55-target.png	863311	b9c0c4b847d7dddaa06919379b1d0d8c8005c7e6b82c8f4a1574c7358af57e5d	f7fa170b1503634a26de543c072354c954983d4a	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
docs/graphics-v2/pipeline-experiments/idea-bm-grove-topology-70-oblique-y040.png	1098156	16b02efdd982d17046ddc9ef95b3e1a918b756091e4184638bd75a546ef180a6	5cb5be828aa795856e6d27e240785eb7bcf032f8	generated-render-or-review-artifact	retain-project-prompt-report-provenance-and-NLS-attribution-where-map-derived
